year,ndvi
2015,0.4372913043478261
2016,0.37526521739130436
2017,0.4059608695652174
2018,0.357695652173913
2019,0.416
2020,0.4385434782608696
2021,0.3725
2022,0.4304347826086957
2023,0.4508304347826087
